Lesson,Monday,Tuesday,Wednesday,Thursday,Friday
Week 2 (L1),English (E2),Nutrition,Humanities,Mathematics,Science And Tech
Week 2 (L2),Humanities,Humanities,Welsh,Music,PE
Week 2 (L3),Art,Drama,Mathematics,English (H4),English (E4)
Week 2 (L4),Maths,PE,Spanish,Humanities,"Computer  Science (IT2) "
Week 2 (L5),Science And Tech,English (E4),English (E2),Science And Tech,Welsh
